Singende Bataillone 1. Teil	0.9989959839357431	0.7165991902834008	0.02844180267012844	0.195	0.0	0.563	0.9090909090909092	0.151	0.7450003915120195	1.0	0.0	0.052218782249741996	0.4853476777103621	0.779	0.07070707070707272
Fantasiestücke, Op. 111: Più tosto lento	0.9979919678714861	0.38360323886639675	0.0513162067519365	0.0135	0.0	0.9009999999999999	0.7272727272727273	0.0763	0.49402552658366616	1.0	0.0	0.04767801857585138	0.3440192387265406	0.0767	0.07070707070707272
Chapter 1.18 - Zamek kaniowski	0.606425702811245	0.7580971659919029	0.01837436036508649	0.22	0.0	0.0	0.4545454545454546	0.11900000000000001	0.6276094276094277	0.0	0.0	0.958720330237358	0.4390862424259805	0.88	0.07070707070707272
Bebamos Juntos - Instrumental (Remasterizado)	0.9989959839357431	0.7904858299595141	0.03253783719300118	0.13	0.0	0.887	0.09090909090909091	0.111	0.7088873228408112	0.0	0.0	0.09556243550051598	0.4424702262680721	0.72	0.07070707070707272
Polonaise-Fantaisie in A-Flat Major, Op. 61	0.9939759036144579	0.21255060728744937	0.12644969094500733	0.204	0.0	0.9079999999999999	1.0	0.098	0.6760786156134994	1.0	0.01	0.04375644994840041	0.25461405787185926	0.0693	0.07070707070707272
Scherzo a capriccio: Presto	0.9989959839357431	0.4291497975708502	0.0643695381884087	0.12	0.0	0.9109999999999999	0.5454545454545454	0.0915	0.6382898754991779	0.0	0.0	0.0611971104231166	0.2602349123892319	0.266	0.07070707070707272
Valse oubliée No. 1 in F-Sharp Major, S. 215/1	0.9598393574297189	0.4493927125506073	0.024362625018709276	0.19699999999999998	0.0	0.435	1.0	0.0744	0.6698614047451257	1.0	0.0	0.04127966976264189	0.3297745512943943	0.305	0.07070707070707272
Per aspera ad astra	0.9919678714859438	0.5617408906882592	0.02757469261217044	0.42100000000000004	0.0	0.836	0.09090909090909091	0.105	0.7849346174927571	1.0	0.0	0.04891640866873064	0.5051804449979721	0.857	0.07070707070707272
Moneda Corriente - Remasterizado	0.9989959839357431	0.6912955465587044	0.029154051799128333	0.207	0.0	0.20600000000000002	0.8181818181818182	0.337	0.7861404745125676	0.0	0.0	0.13106295149638802	0.49093575756582586	0.493	0.07070707070707272
Chapter 1.3 - Zamek kaniowski	0.8493975903614458	0.6821862348178138	0.019726614888285254	0.205	0.0	0.0	0.8181818181818182	0.17	0.6245556338579594	1.0	0.0	0.9845201238390092	0.33286356317930604	0.759	0.07070707070707272
